year,Bicycle,Motorcycle,Car,Truck I,Truck II,Bus,Other,total
1993,145,818,2130,220,126,3,31,3473
1994,151,744,1788,171,156,4,43,3057
1995,122,744,1874,196,153,4,43,3136
1996,101,734,1802,181,139,7,53,3017
1997,116,797,1830,213,150,6,44,3156
1998,113,806,2050,224,161,3,43,3400
1999,118,813,1983,218,153,4,47,3336
2000,83,776,2033,220,178,6,53,3349
2001,100,748,1972,199,139,5,57,3220
2002,96,707,1922,227,153,4,31,3140
2003,77,675,2044,202,144,3,51,3196
2004,89,682,1689,204,138,0,59,2861
2005,82,719,1564,168,126,6,73,2738
2006,75,724,1377,188,126,4,75,2569
2007,88,816,1187,155,85,5,89,2425
2008,54,627,994,105,78,6,65,1929
2009,54,555,847,111,62,1,62,1692
2010,67,458,785,80,64,0,57,1511
2011,49,401,663,75,58,0,46,1292
2012,72,347,579,61,45,0,58,1162
2013,68,335,494,47,36,1,33,1014